scenario,metric,count,mean_mean,mean_std,mean_ci95,mean_boot_low,mean_boot_high,median_mean,median_std,median_ci95,median_boot_low,median_boot_high,std_mean,std_std,std_ci95,std_boot_low,std_boot_high,max_mean,max_std,max_ci95,max_boot_low,max_boot_high,min_mean,min_std,min_ci95,min_boot_low,min_boot_high,_aggregate_dir
fixed_30,max_abs_matrix,3,0.7827954632636654,1.1102230246251563e-16,1.256335621770595e-16,0.7827954632636654,0.7827954632636654,0.7873027267343184,0.0,0.0,0.7873027267343184,0.7873027267343184,0.1257455846524336,0.0,0.0,0.1257455846524336,0.1257455846524336,1.1164232205758045,0.0,0.0,1.1164232205758045,1.1164232205758045,,,,,,results\manual\fixed_30_aggregate
fixed_30,mean_abs_matrix,3,0.168558560484423,0.0,0.0,0.168558560484423,0.168558560484423,0.1695599386035546,0.0,0.0,0.1695599386035546,0.1695599386035546,0.0285184223672611,0.0,0.0,0.0285184223672611,0.0285184223672611,0.2538534674773633,0.0,0.0,0.2538534674773633,0.2538534674773633,,,,,,results\manual\fixed_30_aggregate
fixed_30,n_assets,3,72.0,0.0,0.0,72.0,72.0,,,,,,,,,,,72.0,0.0,0.0,72.0,72.0,72.0,0.0,0.0,72.0,72.0,results\manual\fixed_30_aggregate
fixed_30,row_sum_range,3,48.9851275009398,0.0,0.0,48.9851275009398,48.9851275009398,48.644816481037786,7.105427357601002e-15,8.040547979331808e-15,48.644816481037786,48.644816481037786,10.492586615473169,0.0,0.0,10.492586615473169,10.492586615473169,95.32020089150468,0.0,0.0,95.32020089150468,95.32020089150468,,,,,,results\manual\fixed_30_aggregate
fixed_30,row_sum_std,3,9.36998395528483,0.0,0.0,9.36998395528483,9.36998395528483,9.286260882387293,0.0,0.0,9.286260882387293,9.286260882387293,1.497427692340686,0.0,0.0,1.497427692340686,1.497427692340686,14.303251496585084,1.7763568394002505e-15,2.010136994832952e-15,14.303251496585084,14.303251496585084,,,,,,results\manual\fixed_30_aggregate
fixed_30,stability_matrix_corr,3,0.957528245433188,0.0,0.0,0.957528245433188,0.957528245433188,0.9705417801147448,0.0,0.0,0.9705417801147448,0.9705417801147448,,,,,,,,,,,,,,,,results\manual\fixed_30_aggregate
fixed_30,stability_rowsum_corr,3,0.9574315575757136,0.0,0.0,0.9574315575757136,0.9574315575757136,0.9755424495502926,0.0,0.0,0.9755424495502926,0.9755424495502926,,,,,,,,,,,,,,,,results\manual\fixed_30_aggregate
research_full,max_abs_matrix,3,0.5946466994642922,0.0,0.0,0.5946466994642922,0.5946466994642922,0.5932716463314381,0.0,0.0,0.5932716463314381,0.5932716463314381,0.0965948891205072,1.3877787807814457e-17,1.5704195272132438e-17,0.0965948891205072,0.0965948891205072,0.9314471852812276,1.1102230246251563e-16,1.256335621770595e-16,0.9314471852812276,0.9314471852812276,,,,,,results\manual\research_full_aggregate
research_full,mean_abs_matrix,3,0.1203153742814718,0.0,0.0,0.1203153742814718,0.1203153742814718,0.1192875774903123,1.3877787807814457e-17,1.5704195272132438e-17,0.1192875774903123,0.1192875774903123,0.0176505722002901,0.0,0.0,0.0176505722002901,0.0176505722002901,0.165694054225597,0.0,0.0,0.165694054225597,0.165694054225597,,,,,,results\manual\research_full_aggregate
research_full,n_assets,3,72.0,0.0,0.0,72.0,72.0,,,,,,,,,,,72.0,0.0,0.0,72.0,72.0,72.0,0.0,0.0,72.0,72.0,results\manual\research_full_aggregate
research_full,row_sum_range,3,35.41043801263979,0.0,0.0,35.41043801263979,35.41043801263979,34.04207870321916,0.0,0.0,34.04207870321916,34.04207870321916,7.8566714869494945,0.0,0.0,7.8566714869494945,7.8566714869494945,58.01065310164186,0.0,0.0,58.01065310164186,58.01065310164186,,,,,,results\manual\research_full_aggregate
research_full,row_sum_std,3,6.706401616851129,8.881784197001252e-16,1.005068497416476e-15,6.706401616851129,6.706401616851129,6.579374164090685,0.0,0.0,6.579374164090685,6.579374164090685,1.0233303459726883,0.0,0.0,1.0233303459726883,1.0233303459726883,9.370149956124871,0.0,0.0,9.370149956124871,9.370149956124871,,,,,,results\manual\research_full_aggregate
research_full,stability_matrix_corr,3,0.9796190054685632,1.1102230246251563e-16,1.256335621770595e-16,0.9796190054685632,0.9796190054685632,0.9875844790313804,1.1102230246251563e-16,1.256335621770595e-16,0.9875844790313804,0.9875844790313804,,,,,,,,,,,,,,,,results\manual\research_full_aggregate
research_full,stability_rowsum_corr,3,0.9795766914858918,0.0,0.0,0.9795766914858918,0.9795766914858918,0.9896405365682645,0.0,0.0,0.9896405365682645,0.9896405365682645,,,,,,,,,,,,,,,,results\manual\research_full_aggregate
