date,mean_abs_matrix,max_abs_matrix,row_sum_range,row_sum_std,stability_matrix_corr,stability_rowsum_corr,n_assets
2021-12-28,0.1541275906095995,0.7219581029476034,43.57260920557269,8.697152092539337,0.9693551252210013,0.9726663772735296,72
2021-12-29,0.14946879122328785,0.7616630966754342,42.32610304322335,8.48152597773371,0.9755931526799022,0.9789229553834192,72
2021-12-30,0.15091101918737243,0.7888562974118936,42.005146462523086,8.657989941313858,0.988586583789706,0.9936133696525756,72
2021-12-31,0.15664315262000097,0.7462669979966016,44.21389489146034,9.010219001718426,0.9757586185869531,0.9801781080250718,72
2022-01-01,0.16056849059163616,0.7345228503329403,51.885908814515574,9.485231107223846,0.8704707181240611,0.8585801059198842,72
2022-01-02,0.16319342146662544,0.7773815844055653,43.91961112542982,9.415459707185748,0.9081337994074211,0.9030200815008186,72
2022-01-03,0.16330333280656995,0.7633004540610868,46.63336679226856,9.408129570118236,0.9765362307007232,0.9821259207497293,72
2022-01-04,0.16692728524043884,0.7705893394878833,47.57406378179511,9.632983758625087,0.9856095614822324,0.9940763928237026,72
2022-01-05,0.16572125105562172,0.7610118885983774,48.1653244009214,9.56064700691236,0.9664909590598866,0.9683812890135046,72
2022-01-06,0.16965313092874418,0.7659209178759128,51.20815669560879,9.862694182122116,0.9559686639742105,0.9549069290808387,72
2022-01-07,0.17700341239238554,0.8059784205960471,52.34581587972053,10.174537804358742,0.9535527968704512,0.952992299171858,72
2022-01-08,0.17379147656508642,0.7972969894822912,49.91186545241464,9.945443628423218,0.9746226627154394,0.9743620159036044,72
2022-01-09,0.1746462603788473,0.785954114717774,49.77022015128058,9.92067457292396,0.9879796090298232,0.9891528181322512,72
2022-01-10,0.16736562842821193,0.7931945973909518,50.88213338567395,9.591350250345789,0.9621418579329124,0.9562291561786538,72
2022-01-11,0.17984422703699052,0.8359720968827795,57.02336662584264,10.102498437380278,0.9153171552289465,0.8995234446280608,72
2022-01-12,0.17705261318027316,0.8025793395421809,56.7335367363786,10.057615016914193,0.9618814878413356,0.9604122189372984,72
2022-01-13,0.1818689120011815,0.8251568472173313,52.77027049793671,10.482475475568577,0.9548624090153013,0.9546102688156,72
2022-01-14,0.17516025848528582,0.7907785597843093,50.5805917316023,10.054457064494766,0.9768725059405964,0.9822758819629558,72
2022-01-15,0.17739210473044806,0.8463066339331515,50.21186189555571,10.112098030762093,0.9817966478714918,0.9878775286485725,72
2022-01-16,0.1785638786575407,0.8470773127385363,51.90329778293973,10.178505911470433,0.9880880266083045,0.9943405817588921,72
2022-01-17,0.18286306929578228,0.8944609839174456,55.35613166591068,10.435409674042893,0.9824313052559648,0.9903063047469317,72
