,wf_trunc_20251017_184009,leakage_placebo_20251017_180955,wf_trunc_20251017_183222,wf_full_20251017_181105,wf_full_20251017_181834,leakage_control_20251017_180832
wf_trunc_20251017_184009,,0.5865400680946873,1.0,5.177837028981368e-08,5.177837028981368e-08,1.0
leakage_placebo_20251017_180955,0.5865400680946873,,0.5865400680946873,0.8308362984021203,0.8308362984021203,0.5865400680946873
wf_trunc_20251017_183222,1.0,0.5865400680946873,,5.177837028981368e-08,5.177837028981368e-08,1.0
wf_full_20251017_181105,5.177837028981368e-08,0.8308362984021203,5.177837028981368e-08,,1.0,5.177837028981368e-08
wf_full_20251017_181834,5.177837028981368e-08,0.8308362984021203,5.177837028981368e-08,1.0,,5.177837028981368e-08
leakage_control_20251017_180832,1.0,0.5865400680946873,1.0,5.177837028981368e-08,5.177837028981368e-08,
