,wf_trunc_20251017_184009,leakage_placebo_20251017_180955,wf_trunc_20251017_183222,wf_full_20251017_181105,wf_full_20251017_181834,leakage_control_20251017_180832
wf_trunc_20251017_184009,,3.174674759223827e-16,1.0,0.1012514672917054,0.1012514672917054,1.0
leakage_placebo_20251017_180955,3.174674759223827e-16,,3.174674759223827e-16,2.779789173570277e-16,2.779789173570277e-16,3.174674759223827e-16
wf_trunc_20251017_183222,1.0,3.174674759223827e-16,,0.1012514672917054,0.1012514672917054,1.0
wf_full_20251017_181105,0.1012514672917054,2.779789173570277e-16,0.1012514672917054,,1.0,0.1012514672917054
wf_full_20251017_181834,0.1012514672917054,2.779789173570277e-16,0.1012514672917054,1.0,,0.1012514672917054
leakage_control_20251017_180832,1.0,3.174674759223827e-16,1.0,0.1012514672917054,0.1012514672917054,
