metric,mean,median,std,max,min
mean_abs_matrix,0.41774640501782484,0.41774640501782484,,0.41774640501782484,
max_abs_matrix,1.7193243134959415,1.7193243134959415,,1.7193243134959415,
row_sum_range,102.27011958485434,102.27011958485434,,102.27011958485434,
row_sum_std,21.856942477582237,21.856942477582237,,21.856942477582237,
stability_matrix_corr,,,,,
stability_rowsum_corr,,,,,
n_assets,72.0,,,72.0,72.0
