,control,placebo,delta
stability_matrix_corr_mean,0.95207245829052,0.137321301951674,-0.814751156338846
stability_rowsum_corr_mean,0.9501695646899618,0.14827259278332328,-0.8018969719066386
mean_abs_matrix_mean,0.17525273718326764,0.1642660566352126,-0.010986680548055044
row_sum_std_mean,7.989644024612639,9.019307074898787,1.029663050286148
