datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2020-01-20,,,,,,,,,,,,,,,252874.107,,,,125161.675,,,,,,,,,,,,,,9429386.38,,390055.869,,,,,,,,,,,,,,,,,,,7244721.52,221200.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772316732.0,,,,,,,,,108561251.0,,77419621.8,,,,2020-01-20
2020-01-21,,,,,,,,,,,,,,,169198.735,,,,107577.153,,,,,,,,,,,,,,6974909.92,,351565.999,,,,,,,,,,,,,,,,,,,5857502.02,176966.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522161411.0,,,,,,,,,208422259.0,,102077724.0,,,,2020-01-21
2020-01-22,,,,,,,,,,,,,,,152726.096,,,,94305.496,,,,,,,,,,,,,,6355301.58,,334378.174,,,,,,,,,,,,,,,,,,,3308776.35,240476.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481534025.0,,,,,,,,,205782345.0,,87613905.1,,,,2020-01-22
2020-01-23,,,,,,,,,,,,,,,274632.367,,,,163407.064,,,,,,,,,,,,,,7817168.0,,481102.22,,,,,,,,,,,,,,,,,,,5259106.64,390128.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624572984.0,,,,,,,,,213790017.0,,67311519.0,,,,2020-01-23
2020-01-24,,,,,,,,,,,,,,,455228.488,,,,144785.391,,,,,,,,,,,,,,10186046.93,,472568.424,,,,,,,,,,,,,,,,,,,3786409.71,380824.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523753385.0,,,,,,,,,183533741.0,,81678743.4,,,,2020-01-24
2020-01-25,,,,,,,,,,,,,,,230327.872,,,,96961.714,,,,,,,,,,,,,,6175285.99,,282785.555,,,,,,,,,,,,,,,,,,,2024211.4,214348.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200265727.0,,,,,,,,,173714666.0,,52182168.9,,,,2020-01-25
2020-01-26,,,,,,,,,,,,,,,369421.713,,,,117898.916,,,,,,,,,,,,,,8158709.02,,326188.863,,,,,,,,,,,,,,,,,,,1798455.47,278686.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313908688.0,,,,,,,,,196333324.0,,67256850.5,,,,2020-01-26
2020-01-27,,,,,,,,,,,,,,,550555.005,,,,172235.328,,,,,,,,,,,,,,16843143.66,,418039.792,,,,,,,,,,,,,,,,,,,3819200.89,361503.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375916161.0,,,,,,,,,187326933.0,,74631182.4,,,,2020-01-27
2020-01-28,,,,,,,,,,,,,,,421887.574,,,,244467.546,,,,,,,,,,,,,,18736741.19,,525282.459,,,,,,,,,,,,,,,,,,,3230957.43,490260.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224036579.0,,,,,,,,,217074583.0,,108022768.8,,,,2020-01-28
2020-01-29,,,,,,,,,,,,,,,364107.695,,,,169460.643,,,,,,,,,,,,,,19452378.33,,401619.605,,,,,,,,,,,,,,,,,,,5033997.71,514719.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190560214.0,,,,,,,,,221382845.0,,84632552.4,,,,2020-01-29
