ticker,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK
2019-12-31,,,,,,,,,,,,,,,204.72,,,,7189.0,,,,,,,,,,,,,,,,129.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,204.44,,,,7197.57,,,,,,,,,,,,,,,,130.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,195.73,,,,6962.04,,,,,,,,,,,,,,,,127.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,222.31,,,,7341.72,,,,,,,,,,,,,,,,134.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,,,,,,,,,,,,,,,224.37,,,,7350.71,,,,,,,,,,,,,,,,134.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,222.68,,,,7354.36,,,,,,,,,,,,,,,,135.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,244.1,,,,7757.39,,,,,,,,,,,,,,,,144.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2226,,,
2020-01-07,,,,,,,,,,,,,,,242.32,,,,8152.49,,,,,,,,,,,,,,,,142.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2138,,,
2020-01-08,,,,,,,,,,,,,,,240.17,,,,8059.84,,,,,,,,,,,,,,,,140.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2078,,,
2020-01-09,,,,,,,,,,,,,,,238.03,,,,7818.59,,,,,,,,,,,,,,,,137.73,,,,,,,,,,,,,,,,,,,,44.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,,
2020-01-10,,,,,,,,,,,,,,,271.71,,,,8207.09,,,,,,,,,,,,,,,,144.8,,,,,,,,,,,,,,,,,,,,49.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2128,,,
2020-01-11,,,,,,,,,,,,,,,260.84,,,,8020.56,,,,,,,,,,,,,,,,142.4,,,,,,,,,,,,,,,,,,,,49.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2117,,,
2020-01-12,,,,,,,,,,,,,,,270.77,,,,8186.7,,,,,,,,,,,,,,,,146.57,,,,,,,,,,,,,,,,,,,,51.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2158,,,
2020-01-13,,,,,,,,,,,,,,,267.0,,,,8113.0,,,,,,,,,,,,,,,,143.58,,,,,,,,,,,,,,,,,,,,49.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2115,,,
2020-01-14,,,,,,,,,,,,,,,348.76,,,,8825.0,,,,,,,,,,,,,,,,165.77,,,,,,,,,,,,,,,,,,,,58.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,
2020-01-15,,,,,,,,,,,,,,,340.3,,,,8825.3,,,,,,,,,,,,,,,,166.6,,,,,,,,,,,,,,,,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01734,,,,,,,,,,,0.2337,,,
2020-01-16,,,,,,,,,,,,,,,326.77,,,,8725.08,,,,,,,,,,,,,,8.4,,164.37,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01731,,,,,,,,,,,0.227,,,
2020-01-17,,,,,,,,,,,,,,,368.2,,,,8918.72,,,,,,,,,,,,,,9.16,,170.06,,,,,,,,,,,,,,,,,,,2.696,61.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01761,,,,,,,,,,,0.2284,,,
2020-01-18,,,,,,,,,,,,,,,339.63,,,,8925.0,,,,,,,,,,,,,,8.303,,174.43,,,,,,,,,,,,,,,,,,,2.774,59.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0177,,,,,,,,,,,0.2441,,,
2020-01-19,,,,,,,,,,,,,,,339.62,,,,8705.85,,,,,,,,,,,,,,8.528,,167.04,,,,,,,,,,,,,,,,,,,2.623,57.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01666,,,,,,,,,,,0.236,,,
2020-01-20,,,,,,,,,,,,,,,343.88,,,,8650.0,,,,,,,,,,,,,,8.626,,167.03,,,,,,,,,,,,,,,,,,,2.695,57.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01663,,,,,,,,,0.06267,,0.2335,,,
2020-01-21,,,,,,,,,,,,,,,343.48,,,,8742.43,,,,,,,,,,,,,,8.943,,169.52,,,,,,,,,,,,,,,,,,,2.673,57.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01733,,,,,,,,,0.06284,,0.2375,,,
